Stop_Name,Total_Daily_Alighting,geometry,Near_Route,Label
Total (Haram Marioteya),2051.0,POINT (321769.170314129 3319208.1797908694),True,Near Route (≤120m)
Total Abou Al Gheit Rd.,974.0,POINT (323991.3715865441 3340303.0603100006),True,Near Route (≤120m)
Total Gas Station (Autostrad Zahraa Al Maadi),594.0,,False,Far from Route (>120m)
Total Gas Station (Autostrad),36.0,POINT (334941.669926664 3318105.424404551),True,Near Route (≤120m)
Total Gas Station (Kattameya Entrance),97.0,,False,Far from Route (>120m)
Total Gas Station (Kattameya),87.0,,False,Far from Route (>120m)
Total Gas Station Bassous ( Ring Rd. ),14.0,POINT (327213.9792654958 3335659.7677677814),True,Near Route (≤120m)
Total Gas Station Bassous (Ring Rd.),538.0,POINT (327233.1707546358 3335651.591239963),True,Near Route (≤120m)
Traffic Department ( Ain El Sira ),1448.0,POINT (330933.44345447514 3321720.65733888),True,Near Route (≤120m)
Traffic Licensing Complex (Shubra),1871.0,POINT (332133.25721731386 3332030.269079973),True,Near Route (≤120m)
Triumph Square,4689.0,POINT (340398.8022953698 3331076.906095663),True,Near Route (≤120m)
Twin Plaza,307.0,POINT (348841.7590377935 3325681.5122342976),True,Near Route (≤120m)
Union Housing Al Nasr (Kattameya),242.0,POINT (346394.05382102565 3316994.4923726823),True,Near Route (≤120m)
Vehicles Administration ( Salah Salem St.),492.0,,False,Far from Route (>120m)
Versay ( Waili ),570.0,POINT (334332.5790163191 3331505.176030727),True,Near Route (≤120m)
Victoria (Ahmed Helmy St.),232.0,POINT (331916.9936382747 3329725.107045292),True,Near Route (≤120m)
Vitrac Square (5th Settlement),212.0,POINT (347024.4755426234 3321084.828153977),True,Near Route (≤120m)
Vodafone (Ahmed Al Zomor),7776.0,,False,Far from Route (>120m)
Vodafone (Imbaba),1669.0,POINT (327408.6180356104 3328129.252022908),True,Near Route (≤120m)
Vodafone (Zahraa Al Maadi),78.0,POINT (336259.0762756475 3315780.903321047),True,Near Route (≤120m)
Vodafone Square,92.0,POINT (298509.9560068777 3315242.409021015),True,Near Route (≤120m)
Wadi Al Nile Hospital (Matareya St.),1061.0,POINT (336144.65731576335 3330987.4663747083),True,Near Route (≤120m)
Wadi Al Nile St.,815.0,,False,Far from Route (>120m)
Wadi Al Nile St. & 26 of July Corridor (Mit Okba),365.0,,False,Far from Route (>120m)
Wadi Al Nile St. and Nile Corniche,1082.0,POINT (331558.38043984206 3314998.2801728235),True,Near Route (≤120m)
Wadi Degla Sporting Club (6th of October),45.0,POINT (307580.424058111 3317432.0366313662),True,Near Route (≤120m)
Wadi Degla Sporting Club (Heliopolis),152.21157185435055,POINT (344161.6232112651 3330422.788173366),True,Near Route (≤120m)
Wadi Degla Sporting Club (New Cairo),1050.0,POINT (348329.1861252897 3325629.1967981984),True,Near Route (≤120m)
Wadi Hof Metro,232.0,POINT (337192.9388784021 3306606.2389144376),True,Near Route (≤120m)
Waei Islami Hospital (Mostorod),2267.0,POINT (334968.62804112735 3333334.368487404),True,Near Route (≤120m)
Waha Garage (10th District Nasr City),180.0,,False,Far from Route (>120m)
Waha Hotel (Alexandria Desert Rd.),213.0,POINT (316953.42260971956 3321792.258351665),True,Near Route (≤120m)
Warraq Al Arab,427.0,POINT (327971.81405177293 3330713.6333421045),True,Near Route (≤120m)
Wataneya Gas Station (Autostrad Maadi),82.0,POINT (335025.3092207022 3317323.0766998),True,Near Route (≤120m)
Wataneya Gas Station (Kattameya Ring Rd.),2589.0,POINT (336892.28924813843 3318508.537580109),True,Near Route (≤120m)
Wataneya Gas Station (Qattameya),1265.0,,False,Far from Route (>120m)
Water Plant 1 (Asmarat),297.0,POINT (339252.8452280214 3319767.6029378283),True,Near Route (≤120m)
Water Plant 2 (Asmarat),891.0,POINT (339111.64439830126 3319731.6976836817),True,Near Route (≤120m)
Water Station (Alexandria Desert Road),64.0,POINT (316550.33224955376 3322632.4757641293),True,Near Route (≤120m)
Waterway Compound,481.0,POINT (352972.527424087 3324347.4617053624),True,Near Route (≤120m)
Wax Museum (Helwan),284.0,POINT (338332.1579039674 3304398.423216214),True,Near Route (≤120m)
West Golf,0.0,,False,Far from Route (>120m)
West Golf (Qattameya),18.0,,False,Far from Route (>120m)
Windrose Academy,244.0,POINT (340971.30226914 3317661.0309478147),True,Near Route (≤120m)
Wizarat District (New Administrative Capital),1042.0,POINT (377875.641699755 3321589.827370759),True,Near Route (≤120m)
Wonder Land Mall (Abbas Al Akkad),363.0,,False,Far from Route (>120m)
Yathreb and Al Maadi Company St.,157.0,POINT (333803.9066162957 3318481.3015060863),True,Near Route (≤120m)
Yellow Kiosk (6th of October),474.0,POINT (298740.7863938265 3313319.0532341446),True,Near Route (≤120m)
Yousef Abbas St & Autostrad St.,2487.0,POINT (338137.644608606 3327376.804935939),True,Near Route (≤120m)
Youth Housing (Shorouq City),135.0,POINT (369709.81742336205 3337914.8846747214),True,Near Route (≤120m)
Zahraa (Maadi),924.0,,False,Far from Route (>120m)
Zahraa Ain Shams,40.0,POINT (339917.9224569731 3335116.2524053925),True,Near Route (≤120m)
Zahraa Al Maadi Tunnel - Start,78.0,,False,Far from Route (>120m)
Zahraa Madinet Nasr,1260.0,POINT (347012.3031227147 3325904.992762368),True,Near Route (≤120m)
Zahraa Metro,1710.0,POINT (329376.99967244046 3319550.8444535676),True,Near Route (≤120m)
Zahraa Nasr City,1058.0,POINT (345746.04968951776 3325565.6963972417),True,Near Route (≤120m)
Zain Paint Store (Al Rawda Sheikh Zayed),60.0,POINT (307654.12927398476 3324736.164100779),True,Near Route (≤120m)
Zaker Hussein St. & Al Tayaran St.,5462.0,POINT (338888.12896669906 3324801.401377749),True,Near Route (≤120m)
Zamalek Sporting Club,1041.0,POINT (326969.26527845784 3326863.3390554804),True,Near Route (≤120m)
Zamzam Specialized Hospital (Om Bayoumi),1154.0,POINT (331523.60404725646 3335533.449277592),True,Near Route (≤120m)
Zayed 2000,509.0,POINT (307958.7814700776 3322619.7520421306),True,Near Route (≤120m)
Zayed Boys Secondary School,0.0,POINT (305772.6282844191 3326150.848815281),True,Near Route (≤120m)
Zenin,6105.0,POINT (324833.7774091711 3323548.554790587),True,Near Route (≤120m)
Zewail Rd. (Wahat Rd.),132.0,POINT (314498.3760997589 3315476.2541289297),True,Near Route (≤120m)
Zohour City (Basateen Rd.),334.0,POINT (332789.82168524875 3319376.7505692677),True,Near Route (≤120m)
