Stop_Name,Daily_All_BA,geometry,Neighbor_Mean_BA,Quadrant
Al Bassous Steps - Ring Road,313.0,POINT (327741.51777308946 3336234.586243186),1498.5,LL
Al Batal Ahmed - Saheb Al Diwan,8440.0,POINT (341656.3137435866 3343972.0525800693),1117.0,HL (outlier)
Al Bibany St.,1788.0,POINT (331794.6796179088 3323930.9973114505),3357.6564537647846,HH (cluster)
Al Bohi (Imbaba),9504.0,POINT (327730.66089996626 3329880.516243726),6068.625,HH (cluster)
Al Central (Laylat Al Qadr),112.0,POINT (297935.1415855412 3314440.9542015684),522.5,LL
Al Central St. & Abou Al Farag St.,676.0,POINT (329760.0884838354 3328341.7991719074),2323.125,LL
Al Dandarawy St. & Basateen Rd.,116.0,POINT (332675.52588595473 3319878.464571078),1953.682588415008,LL
Al Darb Al Ahmar Police Station,839.0,POINT (331482.34093373 3324219.3065227424),5251.330928906722,LH (outlier)
Al Darraasa Traffic Department,884.0,POINT (333218.2567006659 3325861.2708619097),1875.5,LL
Al Dawagen (Nile Corniche),1360.0,POINT (334806.3393885183 3306677.863256614),1094.125,HL (outlier)
Al Demerdash Hospital,2381.0,POINT (333876.483398257 3327970.312336074),3608.881847666495,HH (cluster)
Al Demerdash Metro,6901.0,POINT (333938.64067028137 3328524.043883602),2169.25,HL (outlier)
Al Eman Mosque (Makram Ebeid),3913.0,,,LL
Al Etaby Center,139.0,POINT (303984.5056635384 3325619.7738951165),172.0,LL
Al Ezaby Pharmacy Al Mehwar Al Markazi (6th of October),32.0,POINT (300554.6194703458 3316634.3754565716),685.375,LL
Al Farag Butchery ( Magra Al Oyoun),1797.0,,,LL
Al Faragany (Ain Shams St.),854.0,POINT (337905.96994365245 3333029.1015166873),3100.75,LH (outlier)
Al Fardous Compound Entrance (6th of October),129.0,POINT (312227.1109537836 3315802.7242298583),420.875,LL
Al Fath Mosque (Mansheyyet Al Gamal St.),1780.0,POINT (331274.9092185731 3330921.810702976),6679.625,HH (cluster)
Al Fath Superjet,524.0,,,LL
Al Fath Superjet (Nasr City),603.0,POINT (336866.8901642591 3325111.755994407),950.625,LL
Al Fayrouz Medical Center (Helwan),1872.0,POINT (336145.9053477535 3302619.0523071955),2351.125,HL (outlier)
Al Fouad Hospital (Abbaseya),2712.0,POINT (333991.98031127104 3328753.1806434556),2830.125,HH (cluster)
Al Gabal Al Asfar (Marg),1540.0,POINT (341678.82058557693 3342484.451899692),1979.5,HL (outlier)
Al Galaa Bridge,3766.0,POINT (340290.9079956729 3330580.8739411007),2384.375,HL (outlier)
Al Galaa Bridge (Helipolis),1605.0,POINT (340214.0854396562 3330561.258739166),2895.25,HH (cluster)
Al Galaa Military Hospital,6017.0,POINT (341083.3759012978 3331005.4123653322),2418.375,HL (outlier)
Al Gamaia Al Sharaia (Nasr City),33.0,POINT (337440.0010377959 3325261.9847319033),1309.625,LL
Al Gamaleya Youth Center,8204.0,POINT (333115.9773013285 3325585.4240313373),960.5,HL (outlier)
Al Garage ( Sawah ),1466.0,POINT (334427.7594948546 3331732.0139640016),2944.0,HH (cluster)
Al Gazaer Exit (Ring Rd.),1968.0,POINT (341998.2503650177 3338304.390714672),4147.125,HH (cluster)
Al Gazareen (Warraq),2403.0,POINT (328721.7182519323 3331316.6834512455),6426.75,HH (cluster)
Al Geish Square,3440.9138027174627,POINT (333040.82642162463 3326962.414790339),4183.413809106476,HH (cluster)
Al Gezira Steps (October Bridge),3198.0,POINT (329071.4261659601 3325558.967904221),9871.75,HH (cluster)
Al Gomhoreyya (Al Masraf),880.0,,,LL
Al Gomhoreyya (Howd Al Shaikh),1048.0,,,LL
Al Habib Mosque (Al Barageel),687.0,POINT (323550.75270409 3328350.879339344),491.5804180879352,LL
Al Hadaba Al Wosta,6079.0,,,LL
Al Hamd Square Station,1952.0,POINT (347895.42873029923 3320050.60961746),473.0,HL (outlier)
Al Haq Hospital (Arbean St.),1859.0,POINT (337610.11009233294 3334737.5590074463),3473.75,HH (cluster)
Al Harania Footbridge,2596.0,POINT (324146.87893590983 3316677.9590492155),4365.625,HH (cluster)
Al Hawamdeyya,2376.0,POINT (333194.98570344504 3307623.246150605),1585.625,HL (outlier)
Al Hawamdeyya Bridge St.,3096.0,POINT (333004.17333484336 3308655.032226193),1406.5,HL (outlier)
Al Hawamdeyya Traffic Authority,2210.0,POINT (332842.56077680964 3309529.624041068),1526.625,HL (outlier)
Al Hayat Islamic School (Marg),536.0,POINT (341261.53568606474 3340956.8518483783),1065.25,LL
Al Hays Pastry (Nozha St.),1071.0,POINT (340400.42204719956 3331504.468747632),4494.25,LH (outlier)
Al Hegaz Square,13710.0,POINT (340555.03210931306 3332237.338881027),8069.0,HH (cluster)
Al Helmeya Garden (Gesr Al Suez),3444.0,POINT (338814.71452784375 3332032.5169526762),2537.25,HL (outlier)
Al Helmeya Square (Heliopolis),16434.0,POINT (337761.2574492243 3332405.640998614),3435.875,HH (cluster)
Al Hennawy Furniture (Airport Rd.),384.0,POINT (343595.07442971086 3333689.0167979114),1618.0,LL
Al Herafeyin (Gesr Al Suez),510.0,POINT (344709.08928682405 3335037.0868260395),489.875,LL
Al Herafyeen (Gesr Al Suez),545.0,POINT (344695.915437693 3335052.875761255),485.5,LL
Al Hikma Labs (Nohza St.),427.0,POINT (340473.06113876 3331819.7705706325),3971.5,LH (outlier)
Al Horeyya Rd. (Badr),272.0,POINT (376445.2709986344 3334158.6398617085),469.0,LL
Al Horia Square (Maadi),4171.443746310315,POINT (331550.8321118146 3315597.133517792),1452.1462820298982,HL (outlier)
Al Horreya Square (Shorouq City),26.0,POINT (365444.3885625454 3338321.4915739973),258.375,LL
Al Hossary Azhari Language School,1926.0,POINT (302185.8323043892 3317313.0581888137),1375.625,HL (outlier)
Al Huda Mosuqe (Al Mosky),3153.758089700732,POINT (331925.1963524945 3325828.4783885735),10559.475703955497,HH (cluster)
Al Hussein Hospital (Al Darraasa),411.0,POINT (332921.09770035325 3325100.20716455),4262.991482961539,LH (outlier)
Al Imam Al Shafei Cemetaries (Autostrad),831.0,POINT (332890.51827108796 3321428.04410987),2667.8171748486684,LH (outlier)
Al Ismailiya Square,3094.0,POINT (339550.4184187284 3330643.2302021757),3399.625,HH (cluster)
Al Itihadeya,6866.0,POINT (338090.7740471181 3330004.5199764883),5092.625,HH (cluster)
Al Kabbani Furniture (6th of October),177.0,POINT (299422.97752800566 3315886.313928419),258.25,LL
Al Kahraba Housing Complex,810.0,POINT (334798.74583441333 3305915.1710243565),1112.0,LL
Al Kahraba St. (Nasr City),4673.0,POINT (344714.0435730155 3325441.0817524684),7539.5,HH (cluster)
Al Kahraba St. & Al Wahat Road,337.0,POINT (302019.1611027515 3314520.389956185),385.75,LL
Al Kahraba St. & Tabarak St.,201.0,POINT (301440.74307876435 3314800.331608951),426.75,LL
Al Karma Compound Gate (Sheikh Zayed),17.0,POINT (307596.27034102794 3325136.1003769096),507.75,LL
Al Kasr Al Aini Hospital,12435.0,,,LL
Al Kawetch (Al Matareyya),2357.0,POINT (335872.69110125524 3334234.234752507),4412.25,HH (cluster)
Al Kawthar St. & Gamal Al Din Al Banna St.,418.0,POINT (320117.03902789415 3321129.219915346),2159.5,LL
Al Kerdasi Schools (Marg),1280.0,POINT (341793.45238166716 3342919.6898307833),2012.0,LL
Al Kersh Cars (Heliopolis),576.0,POINT (338654.69006019155 3329286.82143324),2775.375,LH (outlier)
Al Khalafawy Square,9060.0,POINT (330919.6251936855 3330943.227126648),6340.125,HH (cluster)
Al Khashab Bridge,1421.0,POINT (329040.32633539976 3321172.120343218),3940.25,HH (cluster)
Al Khazan St. (6th of October),192.0,POINT (299285.23734065134 3315785.6299399678),256.375,LL
Al Khelaa St.,30.0,POINT (332652.96356182836 3321992.6328801834),11848.806460145885,LH (outlier)
Al Kholafaa Al Rashdeen Mosque - Nasr City,383.0,,,LL
Al Khouly Steps (Ring Rd.),551.0,POINT (326644.70635543147 3331151.7656839853),4414.375,LH (outlier)
Al Kurdi St. - Basateen Rd,1164.0,,,LL
Al Kuwaiti Mosque (Zahraa Al Maadi),225.0,POINT (337289.18736750504 3315703.9798133383),959.75,LL
Al Lewaa Steps (26th of July Corridor),476.0,,,LL
Al Maadi Company St. and Al Gazaer St.,5349.0,POINT (333471.438628963 3318383.651702983),1876.537753243475,HL (outlier)
Al Maagfera Mosque (Bolak),4814.0,POINT (329334.95367566287 3327591.5858089784),1595.625,HL (outlier)
Al Maamal ( Al Remaya St.),589.0,POINT (318273.8750079775 3319225.012433783),2344.4692048768807,LL
Al Maasara Ferry,1557.0,POINT (334709.29088815564 3309099.150369039),1414.25,HL (outlier)
Al Maasara For Engineering Industries,1494.0,POINT (334754.98763363576 3309576.5266535953),1008.75,HL (outlier)
Al Mafareq (Al Moqattam),1857.0,POINT (338922.3459683425 3321261.5734263523),745.25,HL (outlier)
Al Mafariq (Al Zawya Al Hamra),1508.0,POINT (332815.0742886976 3330963.54131295),5038.0,HH (cluster)
Al Magzar (Al Mariouteya),11311.0,POINT (322453.3366623217 3317857.6861252896),3202.375,HH (cluster)
Al Magzar Al Aali (Autostrad),309.0,POINT (333571.12109202147 3320327.7508510514),2039.75,LL
Al Mahkama (New Cairo),64.0,POINT (348205.4880831372 3320213.7281894074),815.375,LL
Al Malek Al Saleh,9695.0,POINT (329388.5592636209 3321878.6863088515),2590.75,HL (outlier)
Al Malek Al Saleh Bridge,6511.0,POINT (329189.0065167545 3321858.8728960613),3373.0,HH (cluster)
Al Malek Al Saleh Bridge Entrance,2454.0,POINT (329130.5193509681 3321626.8687371076),3880.125,HH (cluster)
Al Malek Al Saleh Metro,1353.0,POINT (329228.96019610926 3322123.6773960474),4182.25,HH (cluster)
Al Malek Al Saleh Tunnel Square,128.0,POINT (329690.0933245959 3321888.130840765),3803.125,LH (outlier)
Al Manara Kiosk (Al Moqattam),595.0,POINT (338814.97702567937 3320731.9863722078),840.5,LL
Al Manarah Center For International Conferences,183.0,POINT (344372.695098429 3321912.3024956323),1435.875,LL
Al Manhal Private School,2100.0,POINT (341642.67216079845 3326075.147312983),5597.511565548097,HH (cluster)
Al Manial,5362.0,POINT (328772.822465237 3323263.791612715),3451.125,HH (cluster)
Al Mansoreya & 26th of July Corridor,1370.0,POINT (316659.3262499416 3327265.4806936807),810.375,HL (outlier)
Al Marioteya Rd. & 26th of July Corridor,562.0,POINT (319395.3188647606 3327482.3798319227),1272.625,LL
Al Markaz St. (Abu Al Nomros),1230.0,POINT (327620.0685665484 3314943.8220891),2319.375,LL
Al Masa Hall (Nile Corniche),1309.0,POINT (334596.470567439 3310214.1858462305),1141.25,HL (outlier)
Al Masah Hospital (Mahdy Arafa),9535.0,,,LL
Al Masallah St. & Al Terilli St,1111.0,POINT (337037.75512439176 3334120.6539234677),3033.875,LH (outlier)
Al Matareya Metro,278.0,,,LL
Al Matareyya City Authority,6428.0,POINT (335984.365056545 3332624.2184008267),8312.625,HH (cluster)
Al Matareyya Educational Hospital,10221.0,POINT (336613.9928219904 3333099.697456091),7251.25,HH (cluster)
Al Matareyya Square Station,15746.0,POINT (336800.53395229904 3332743.6297896015),8407.125,HH (cluster)
Al Mazallaat ( Shubra),13134.0,POINT (330927.75922835106 3331363.5583580164),5683.5,HH (cluster)
Al Mazallat,916.0,POINT (330944.0617485143 3331578.7848294717),6632.875,LH (outlier)
Al Mazallat Metro Station,7633.0,POINT (330977.3039807495 3331579.243083755),5793.25,HH (cluster)
Al Mearag Mosque (Ring Rd.),706.0,POINT (336898.0157562359 3318487.6730788494),1496.625,LL
Al Moassasa Steps (Ring Rd.),128.0,POINT (343204.3717114094 3338400.9231130634),1420.875,LL
Al Moemen Mosque,7699.0,POINT (343070.0583325436 3326253.9966556923),6217.625,HH (cluster)
Al Mohandes Insurance (Ramses),3094.0,POINT (332286.0251141712 3327436.2147683855),4550.159273659673,HH (cluster)
Al Mokhayam Al Daaem (Nasr City),415.0,POINT (337468.3551381348 3325235.003258622),1261.875,LL
Al Mokhtabar (Haram St.),1622.0,POINT (322174.9375511956 3319394.175694055),5016.625,HH (cluster)
Al Montazah Compound,48.0,POINT (301153.4774425047 3314288.869088487),743.5,LL
Al Moqattam Hospital,4429.0,POINT (330625.96977310465 3322355.8425732967),1393.25,HL (outlier)
Al Moshir Tantawi Corridor Entrance,56.0,POINT (341752.34061961516 3322615.760343623),1180.25,LL
Al Mosky (Port Said St.),6334.0,POINT (331758.65641674586 3325390.557015876),9695.396431812289,HH (cluster)
Al Mostafa Center (6th of October),1636.0,POINT (297888.5744129502 3316768.1983640813),566.875,HL (outlier)
Al Mostafa Mosque,47.0,POINT (350924.39744186494 3320435.916254439),650.125,LL
Al Mostaqbal Entrance,3986.0,POINT (299277.39457695576 3313191.2585094287),825.625,HL (outlier)
Al Mostaqbal Square (Obour),380.0,POINT (353662.5632972225 3349364.242746027),638.375,LL
Al Mostashfa St & Ahmed Helmy St,1340.0,POINT (331759.68305728503 3328193.201936439),2787.625,HH (cluster)
Al Mostashfa St. & Faisel St.,285.0,POINT (321712.0690511132 3319742.463148767),3760.5,LH (outlier)
Al Motamayez Entrance (6th of October),776.0,POINT (303442.6981639152 3320052.5375222145),528.125,LL
Al Motamayez Wahat Entrance 1,709.0,POINT (305987.3345220224 3317706.5927677494),378.25,LL
Al Motamayez Wahat Entrance 2,477.0,POINT (305787.1921087972 3317547.697159758),543.375,LL
Al Mothalath (Ahmed Al Zomor St.),1985.0,POINT (342989.7344975356 3325253.615968385),6834.75,HH (cluster)
Al Mothalath (Ahmed Al Zomor),2635.0,,,LL
Al Mothalath (Marg),952.0,POINT (341940.1566532566 3343516.2423810693),2053.0,LL
Al Mounira Hospital,2557.0,POINT (330206.61447204265 3323905.4995037033),5929.875,HH (cluster)
Al Mounira School ( Downtown),335.0,,,LL
Al Mukhtar Mosque (Bassous),1596.0,POINT (328329.2848575266 3334783.554113954),721.625,HL (outlier)
Al Naam Square (Ain Shams),2219.0,POINT (337958.558027774 3333461.338142656),3347.875,HH (cluster)
Al Nada Hospital ( Manial ),663.0,,,LL
Al Nadi Square (Maadi),104.0,POINT (332464.46323645674 3315970.827040947),4496.573147682191,LH (outlier)
Al Nady St. & Al Khalifa Al Mamoun St.,3961.0,POINT (337369.6028259776 3330014.744719337),5476.125,HH (cluster)
Al Nagda Square (6th of October),336.0,POINT (300184.16107343277 3316273.0383275524),232.0,LL
